Entry_Datetime,Future_Traded_Price,ATM,Days_to_Expiry,CE_Symbol,CE_Entry_Price,CE_Exit_Price,CE_Exit_Datetime,PE_Symbol,PE_Entry_Price,PE_Exit_Price,PE_Exit_Datetime,PnL
2019-05-06 09:20:00,29725.0,29700,3,BANKNIFTY09MAY1929700CE.NFO,190.6,228.72,2019-05-06 09:55:00,BANKNIFTY09MAY1929700PE.NFO,243.0,192.75,2019-05-06 15:10:00,12.129999999999995
2019-05-07 09:20:00,29898.9,29900,2,BANKNIFTY09MAY1929900CE.NFO,145.6,32.15,2019-05-07 15:10:00,BANKNIFTY09MAY1929900PE.NFO,243.0,291.6,2019-05-07 11:11:00,64.84999999999997
2019-05-08 09:20:00,29312.05,29300,1,BANKNIFTY09MAY1929300CE.NFO,136.9,34.8,2019-05-08 15:10:00,BANKNIFTY09MAY1929300PE.NFO,207.9,249.48000000000002,2019-05-08 11:41:00,60.519999999999996
2019-05-09 09:20:00,29035.65,29000,0,BANKNIFTY09MAY1929000CE.NFO,63.7,76.44,2019-05-09 10:45:00,BANKNIFTY09MAY1929000PE.NFO,129.8,155.76000000000002,2019-05-09 13:49:00,-38.7
2019-05-10 09:20:00,29131.05,29100,6,BANKNIFTY16MAY1929100CE.NFO,268.85,240.35,2019-05-10 15:10:00,BANKNIFTY16MAY1929100PE.NFO,298.8,358.56,2019-05-10 09:50:00,-31.259999999999962
2019-05-13 09:20:00,29010.0,29000,3,BANKNIFTY16MAY1929000CE.NFO,249.8,110.4,2019-05-13 15:10:00,BANKNIFTY16MAY1929000PE.NFO,282.05,338.46000000000004,2019-05-13 15:03:00,82.98999999999998
2019-05-14 09:20:00,28732.05,28700,2,BANKNIFTY16MAY1928700CE.NFO,220.0,264.0,2019-05-14 13:16:00,BANKNIFTY16MAY1928700PE.NFO,242.3,112.1,2019-05-14 15:10:00,86.20000000000002
2019-05-15 09:20:00,29007.5,29000,1,BANKNIFTY16MAY1929000CE.NFO,140.9,18.1,2019-05-15 15:10:00,BANKNIFTY16MAY1929000PE.NFO,187.3,224.76000000000002,2019-05-15 12:45:00,85.34
2019-05-16 09:20:00,28651.05,28600,0,BANKNIFTY16MAY1928600CE.NFO,93.35,112.02,2019-05-16 14:05:00,BANKNIFTY16MAY1928600PE.NFO,97.5,117.0,2019-05-16 10:34:00,-38.17
2019-05-17 09:20:00,29081.55,29000,6,BANKNIFTY23MAY1929000CE.NFO,721.25,865.5,2019-05-17 13:50:00,BANKNIFTY23MAY1929000PE.NFO,684.25,590.65,2019-05-17 15:10:00,-50.64999999999998
2019-05-20 09:20:00,30249.65,30200,3,BANKNIFTY23MAY1930200CE.NFO,641.0,769.2,2019-05-20 12:15:00,BANKNIFTY23MAY1930200PE.NFO,603.95,368.15,2019-05-20 15:10:00,107.60000000000002
2019-05-21 09:20:00,30920.0,30900,2,BANKNIFTY23MAY1930900CE.NFO,593.0,390.05,2019-05-21 15:10:00,BANKNIFTY23MAY1930900PE.NFO,574.65,689.5799999999999,2019-05-21 09:32:00,88.02000000000004
2019-05-22 09:20:00,30500.0,30400,1,BANKNIFTY23MAY1930400CE.NFO,660.25,792.3,2019-05-22 10:40:00,BANKNIFTY23MAY1930400PE.NFO,570.35,684.4200000000001,2019-05-22 12:37:00,-246.12
2019-05-23 09:20:00,31252.45,31200,0,BANKNIFTY23MAY1931200CE.NFO,427.4,512.88,2019-05-23 10:41:00,BANKNIFTY23MAY1931200PE.NFO,384.9,461.88,2019-05-23 14:01:00,-162.46000000000004
